@relation train_cleaned

@attribute row_id numeric
@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {male,female}
@attribute Age {0,1,2,3,4,5,6,7}
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare {0,1,2,3}
@attribute Embarked {Q,S,C}
@attribute Deck {1,2,3,4,5,6,7,8}
@attribute Title {1,2,3,4,5}
@attribute family_size numeric
@attribute is_alone {0,1}
@attribute small_family {0,1}
@attribute large_family {0,1}

@data
0,0,3,male,2,1,0,0,S,8,1,2,0,1,0
1,1,1,female,5,1,0,3,C,3,3,2,0,1,0
2,1,3,female,3,0,0,0,S,8,2,1,1,0,0
3,1,1,female,5,1,0,3,S,3,3,2,0,1,0
4,0,3,male,5,0,0,1,S,8,1,1,1,0,0
5,0,3,male,1,0,0,1,Q,8,1,1,1,0,0
6,0,1,male,6,0,0,3,S,5,1,1,1,0,0
7,0,3,male,0,3,1,2,S,8,4,5,0,0,1
8,1,3,female,3,0,2,1,S,8,3,3,0,1,0
9,1,2,female,1,1,0,2,C,8,3,2,0,1,0
10,1,3,female,0,1,1,2,S,7,2,3,0,1,0
11,1,1,female,6,0,0,2,S,3,2,1,1,0,0
12,0,3,male,2,0,0,1,S,8,1,1,1,0,0
13,0,3,male,5,1,5,2,S,8,1,7,0,0,1
14,0,3,female,1,0,0,0,S,8,2,1,1,0,0
15,1,2,female,6,0,0,2,S,8,3,1,1,0,0
16,0,3,male,0,4,1,2,Q,8,4,6,0,0,1
17,1,2,male,3,0,0,1,S,8,1,1,1,0,0
18,0,3,female,4,1,0,2,S,8,3,2,0,1,0
19,1,3,female,2,0,0,0,C,8,3,1,1,0,0
20,0,2,male,5,0,0,2,S,8,1,1,1,0,0
21,1,2,male,5,0,0,1,S,4,1,1,1,0,0
22,1,3,female,1,0,0,1,Q,8,2,1,1,0,0
23,1,1,male,4,0,0,3,S,1,1,1,1,0,0
24,0,3,female,0,3,1,2,S,8,2,5,0,0,1
25,1,3,female,5,1,5,2,S,8,3,7,0,0,1
26,0,3,male,1,0,0,0,C,8,1,1,1,0,0
27,0,1,male,2,3,2,3,S,3,1,6,0,0,1
28,1,3,female,2,0,0,0,Q,8,2,1,1,0,0
29,0,3,male,5,0,0,0,S,8,1,1,1,0,0
30,0,1,male,5,0,0,2,C,8,5,1,1,0,0
31,1,1,female,1,1,0,3,C,2,3,2,0,1,0
32,1,3,female,3,0,0,0,Q,8,2,1,1,0,0
33,0,2,male,6,0,0,1,S,8,1,1,1,0,0
34,0,1,male,4,1,0,3,C,8,1,2,0,1,0
35,0,1,male,6,1,0,3,S,8,1,2,0,1,0
36,1,3,male,3,0,0,0,C,8,1,1,1,0,0
37,0,3,male,2,0,0,1,S,8,1,1,1,0,0
38,0,3,female,1,2,0,2,S,8,2,3,0,1,0
39,1,3,female,1,1,0,1,C,8,2,2,0,1,0
40,0,3,female,5,1,0,1,S,8,3,2,0,1,0
41,0,2,female,3,1,0,2,S,8,3,2,0,1,0
42,0,3,male,5,0,0,0,C,8,1,1,1,0,0
43,1,2,female,0,1,2,3,C,8,2,4,0,1,0
44,1,3,female,2,0,0,0,Q,8,2,1,1,0,0
